┌─────────┬──────┬──────────┬─────────────────┬─────────────────────┬─────────────────────┬────────────────────┬────────────────────┬───────────────────────┬────────────────────┬────────────────────┬───────┬────────────────┐
│ (index) │ t_in │ model_id │ input_cursor_id │ capital_change      │ capital_requirement │ claims             │ net_cashflow       │ num_deaths            │ num_pols_if        │ premiums           │ q_x   │ term_remaining │
├─────────┼──────┼──────────┼─────────────────┼─────────────────────┼─────────────────────┼────────────────────┼────────────────────┼───────────────────────┼────────────────────┼────────────────────┼───────┼────────────────┤
│ 0       │ 0    │ 0        │ 0               │ -1295.9208035929405 │ -1295.9208035929405 │ -0                 │ 108.33333333333333 │ 0                     │ 1                  │ 108.33333333333333 │ 0.001 │ 120            │
│ 1       │ 1    │ 0        │ 0               │ 10.135902499188887  │ -1285.7849010937516 │ -100               │ 8.333333333333329  │ 0.001                 │ 1                  │ 108.33333333333333 │ 0.001 │ 119            │
│ 2       │ 2    │ 0        │ 0               │ 11.423731667687662  │ -1274.361169426064  │ -100               │ 8.225000000000009  │ 0.001                 │ 0.999              │ 108.22500000000001 │ 0.001 │ 118            │
│ 3       │ 3    │ 0        │ 0               │ 11.415618092229352  │ -1262.9455513338346 │ -99.9              │ 8.216666666666669  │ 0.000999              │ 0.998              │ 108.11666666666667 │ 0.001 │ 117            │
│ 4       │ 4    │ 0        │ 0               │ 11.406227231351977  │ -1251.5393241024826 │ -99.8              │ 8.208441666666673  │ 0.000998              │ 0.997001           │ 108.00844166666667 │ 0.001 │ 116            │
│ 5       │ 5    │ 0        │ 0               │ 11.396844902172688  │ -1240.14247920031   │ -99.70009999999999 │ 8.200225000000003  │ 0.000997001           │ 0.996003           │ 107.900325         │ 0.001 │ 115            │
│ 6       │ 6    │ 0        │ 0               │ 11.387472371907506  │ -1228.7550068284024 │ -99.6003           │ 8.192016558333322  │ 0.000996003           │ 0.995005999        │ 107.79231655833333 │ 0.001 │ 114            │
│ 7       │ 7    │ 0        │ 0               │ 11.378109632100859  │ -1217.3768971963016 │ -99.50059989999998 │ 8.18381633333334   │ 0.0009950059989999999 │ 0.994009996        │ 107.68441623333332 │ 0.001 │ 113            │
│ 8       │ 8    │ 0        │ 0               │ 11.368756673032749  │ -1206.0081405232688 │ -99.4009996        │ 8.175624316774972  │ 0.000994009996        │ 0.9930149900009999 │ 107.57662391677498 │ 0.001 │ 112            │
│ 9       │ 9    │ 0        │ 0               │ 11.359413484996821  │ -1194.648727038272  │ -99.3014990001     │ 8.167440500441657  │ 0.000993014990001     │ 0.9920209800049999 │ 107.46893950054165 │ 0.001 │ 111            │
│ 10      │ 10   │ 0        │ 0               │ 11.350080058291269  │ -1183.2986469799807 │ -99.2020980005     │ 8.15926487612488   │ 0.000992020980005     │ 0.9910279650149989 │ 107.36136287662488 │ 0.001 │ 110            │
│ 11      │ 11   │ 0        │ 0               │ 11.340756383230655  │ -1171.95789059675   │ -99.1027965014999  │ 8.15109743562445   │ 0.000991027965014999  │ 0.990035944034994  │ 107.25389393712435 │ 0.001 │ 109            │
│ 12      │ 12   │ 0        │ 0               │ 11.331442450135683  │ -1160.6264481466144 │ -99.0035944034994  │ 8.142938170748309  │ 0.000990035944034994  │ 0.9890449160699789 │ 107.14653257424771 │ 0.001 │ 108            │
│ 13      │ 13   │ 0        │ 0               │ 11.322138249332966  │ -1149.3043098972814 │ -98.9044916069979  │ 8.134787073312694  │ 0.000989044916069979  │ 0.9880548801259439 │ 107.03927868031059 │ 0.001 │ 107            │
│ 14      │ 14   │ 0        │ 0               │ 11.312843771162079  │ -1137.9914661261193 │ -98.80548801259438 │ 8.126644135141959  │ 0.0009880548801259438 │ 0.9870658352098739 │ 106.93213214773634 │ 0.001 │ 106            │
│ 15      │ 15   │ 0        │ 0               │ 11.303559005979196  │ -1126.6879071201402 │ -98.7065835209874  │ 8.118509348068642  │ 0.000987065835209874  │ 0.9860777803297479 │ 106.82509286905604 │ 0.001 │ 105            │
